name;group;subgroup;course;has_second_course;last_picked
guisantes;verdura;;primero;true;
judías verdes;verdura;;primero;true;
pure de calabacín;verdura;;primero;true;
pisto con huevo;verdura;huevo;primero;false;
arroz blanco;arroz;;primero;true;
arroz con pollo;arroz;pollo;primero;false;
arroz a la cubana;arroz;huevo,salchichas;primero;false;
arroz con salchichas;arroz;salchichas;primero;false;
arroz con verduras;arroz;;primero;false;
arroz tres delicias;arroz;huevo;primero;false;
ensalada de arroz;arroz;ensalada;primero;false;
paella;arroz;gambas;primero;false;
espaguetis con tomate y carne picada;pasta;carne;primero;false;
espaguetis con tomate y salchichas;pasta;salchichas;primero;false;
espaguetis con tomate y chorizo;pasta;chorizo;primero;false;
espaguetis con nata y bacon;pasta;;primero;false;
espaguetis con nata y champiñones;pasta;;primero;false;
espaguetis con gambas;pasta;gambas;primero;false;
macarrones con tomate y carne picada;pasta;carne;primero;false;
macarrones con tomate y salchichas;pasta;salchichas;primero;false;
macarrones con tomate y chorizo;pasta;chorizo;primero;false;
macarrones con nata y foie gras;pasta;;primero;false;
tortellinis con nata y bacon;pasta;;primero;false;
tortellinis con nata y champiñones;pasta;;primero;false;
mac and cheese;pasta;;primero;false;
ensalada de pasta (lazos o espirales);pasta;ensalada;primero;false;
fideuá;pasta;gambas;primero;false;
lasaña;pasta;carne;primero;false;
lentejas;legumbre;;primero;false;
garbanzos con gambas;legumbre;gambas;primero;false;
cocido;legumbre;cocido;primero;false;
ensalada de judías blancas;legumbre;ensalada;primero;false;
ensalada de garbanzos;legumbre;ensalada;primero;false;
patatas con chorizo;mixto;patatas,chorizo;primero;false;
patatas con costillas;mixto;patatas;primero;false;
cachopo;mixto;carne;primero;false;
migas con huevo;mixto;huevo;primero;false;
huevos rellenos;mixto;huevo;primero;true;
ensaladilla rusa;mixto;ensalada,patatas;primero;false;
ensalada campera;mixto;ensalada,patatas;primero;false;
ensalada cesar;mixto;pollo,ensalada;primero;true;
ensalada caprese;mixto;ensalada;primero;true;
plato combinado;mixto;huevo;primero;false;
revuelto de champiñones;mixto;huevo;primero;true;
sopa de cocido;mixto;cocido,sopa;primero;true;
carrilleras;cerdo;;segundo;false;
berenjenas rellenas de carne picada;carne;;segundo;false;
albóndigas;carne;;segundo;false;
filetes de ternera;carne;;segundo;false;
filetes de pollo;pollo;;segundo,cena;false;
pollo al horno;pollo;;segundo;false;
pollo en salsa;pollo;;segundo;false;
huevo frito;mixto;huevo;segundo,cena;false;
tortilla de patatas;mixto;huevo,patatas;cena;false;
espárragos;verdura;;cena;false;
calabacín al horno (con queso y tomate);verdura;;cena;false;
coliflor gratinada;verdura;;cena;false;
rollitos primavera;verdura;;cena;false;
pimientos rellenos;carne;;cena;false;
hamburguesa;carne;;cena;false;
alitas de pollo;pollo;;cena;false;
fingers de pollo;pollo;;cena;false;
fajitas;pollo;;cena;false;
merluza;pescado;;cena;false;
lubina;pescado;;cena;false;
dorada;pescado;;cena;false;
boquerones;pescado;;cena;false;
lenguados;pescado;;cena;false;
pizza;mixto;;cena;false;
panini;mixto;;cena;false;
sandwiches;mixto;;cena;false;
croquetas;mixto;;cena;false;
tortas;mixto;;cena;false;
empanadillas;mixto;;cena;false;